Kategori;Sub Kategori;Harga Produk;Jumlah Produk Terjual;Nama Produk;Foto Produk;;;
Roblox Games;Bee Swarm Simulator;Rp31.900;4 terjual;Heart Blade;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202571%2Fp6ru1zn1xqcedhh7cgjj_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp32.500;10 terjual;Dual Nebula Blade set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026414%2F7npt140ehwu2ynz5dy5hve_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp24.800;2 terjual;Runic Scythe;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202647%2F1qnmmtg50cmhu3edbq6vf_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp22.900;723 terjual;Dual Aetherial Azure Katana Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025112%2Fggkn7rs8zcspst78ffh96r_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp8.900;686 terjual;Prismatic Harvester;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F20241231%2F8fk7t4n2phvncmw7xso95_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp12.500;579 terjual;Nebula Blaster Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2024928%2Fmjht2s8gckipulc0xm205_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp25.000;451 terjual;Dual Blackhole Katana set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026112%2Fp34ypftqzpbv250p1l7bd_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp20.000;398 terjual;Stardust Katana;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025423%2F84lcxp5pnfcr8yzy5i2e3_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp42.000;348 terjual;Voltfire Lash;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025112%2Fn3etjybkt6amyohxv5chi_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp39.500;330 terjual;Dual Runic Blade Set (Sword, Emote, Explosion) - Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025930%2Frm83i3ejv1dg6tsmc9a02_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp55.000;326 terjual;Dual Infinite Scythe Set (Sword, Emote, Explosion) - Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025823%2Fe0536ednt0ab9bd6w1rpmd_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp49.500;2 terjual;Heart Blade set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202571%2F6q44gyg8qsdaqx30p5j37_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp18.800;7 terjual;Butterfly Blade;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026310%2F3v3axkctsp44v7l8n6ossh_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp34.200;11 terjual;Dual Zephyr Blade set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025630%2Fugro20cudg8aysrh6hwncj_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp109.500;1 terjual;Dual Blossom Scythe set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025728%2Fqqz29f4ojen9kktdcc9ra_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp21.900;297 terjual;Dual Nebula Blade Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025112%2Fnctz5e71b19qr84dwxjnhk_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp3.900;291 terjual;Cyber Scythe - Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2024928%2Fr4wn5t4n3fntifrxqjp8se_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp39.500;275 terjual;Dual Phantom Blade Set (Sword, Emote, Explosion) - Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026112%2Fodunxp9ninoww34m20pen7_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp30.000;265 terjual;Dual Nebula Katana Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2024928%2Fsoueixssx43xyt4vs5x48_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp22.500;253 terjual;Dual Hakai Blade;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F20250318%2F185591a0e9683247296d59a104_thumbnail.png&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp7.000;235 terjual;Singularity Scythe;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2024122%2Fmgkyr6xclj8nwst4xoldo_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp35.000;212 terjual;Dual Resurrection Blade Set (Sword, Emote, Explosion) - Blade Ball;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026117%2Fi9thbco364n05xki9s1dqlx_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp15.500;206 terjual;Dual Blackhole Katana;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2024123%2F39gftel6464o850m7zcoff_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp75.000;1 terjual;Princess Katana;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202644%2Fc87kezdcyb8smnxvx27ea9_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp16.800;;Harmonic Staff;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026314%2Fc06i0knpp7e7e2fs2xxl9r_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp36.900;1 terjual;Butterfly Blade set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026310%2Fzqu4nv9ssoiqo46xbykmjo_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Bee Swarm Simulator;Rp43.300;2 terjual;Runic Scythe set;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026514%2Fhjkdvptpl9kv4yzp4wlc5_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp11.800;123224 terjual;Akun Blox Fruit [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F20251023%2F4sxyutrsej2k8xgiyql94_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp11.900;65650 terjual;Akun Blox Fruit GODHUMAN [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F20251023%2Fs7lxbsswouxmsyvs73sn8_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp1.700;52453 terjual;Akun Blox Fruit Level 1000! Bonus Fruit in Inventory !;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2025710%2Ff0mn1u9dhza0o6j9rn477hc_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp21.900;34321 terjual;Akun Blox Fruit GODHUMAN+CURSED DUAL KATANA [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2F5yr19mc8p8rgl0ldivsx8l_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp800.000;4 terjual;AKUN SULTAN MAKSIMAL;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026426%2Ftagemk5rfne72o646bvahh_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp950.000;3 terjual;AKUN PERMANENT DRAGON EASTERN & WESTERN #3;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202655%2Fm5x0na1t1s4iz37ca9elt_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp900.000;3 terjual;AKUN PERMANENT DRAGON EASTERN & WESTERN #24;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026213%2Fsc65tw6svijieb9vixh2an_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp1.100.000;2 terjual;AKUN BLOX FRUIT GG;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026417%2Ffb36y8co9ulip50b3d1je8_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp28.900;30304 terjual;Akun Blox Fruit GODHUMAN+CURSED DUAL KATANA+SOUL GUITAR [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F20251023%2F6fwmnwy262fviuxok2jgd_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp44.900;23872 terjual;Akun Blox Fruit Level Max Bonus Race Awakening V4 T1 (Godhuman);https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202642%2Ff3ark1pfiawwolkmtnx5_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp48.900;20550 terjual;AKUN BLOX FRUIT RACE AWAKENING V4 T10 (FULL GEAR) [LEVEL MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202642%2F0zth2t5m0vhru0dtanak9f_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp1.600;17525 terjual;Akun Level 1000 + Bonus Fruit Di Inventory + Bonus Melee;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026219%2Fcq4eq1vde2g5jld9aalvwn_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp33.900;17412 terjual;Akun Blox Fruit GODHUMAN + SHARK ANCHOR [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2Fkn2adnuvvzfjefn4utmvy_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp32.900;12664 terjual;Akun Blox Fruit FULL AWAKEN DOUGH [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2Firvl1kgf7rg6agnza5lkg_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp15.900;11245 terjual;Akun Blox Fruit T-REX [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2F5ieq20we08p9u1ujx2u2v_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp11.600;9815 terjual;Akun Blox Fruit - Level MAX - GODHUMAN - Third SEA / SEA 3;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026310%2F6jgfdkxinvk84xasih7uhn_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp1.000.000;1 terjual;AKUN PERMANENT DRAGON EASTERN & WESTERN #21;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026213%2F4ux1yhp0hokggenm4qarff_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp600.000;;AKUN PERMANENT DRAGON + GAS + DOUGH + LIGHTNING + BUDDHA ( TOTAL 9 PERMANENT );https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026514%2Frd50xlr0r1vorh172srb_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp900.000;;AKUN PERMANENT DRAGON SULTAN #2;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026516%2Fqd56pal50p9umuk58skkm_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp755.000;5 terjual;AKUN BLOX FRUIT PERM DRAGON+DLL;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026426%2Fzdiota0n6f9wfgws8cg1n_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp7.950;9323 terjual;AKUN LEVEL MAX GODHUMAN;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202647%2Fk77g93ckkk69m4wwk39h6_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp7.990;8343 terjual;Akun Blox Fruit Level Max - GODHUMAN;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202628%2Fmc256zop7tld1mzzqnkzm_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp32.900;6397 terjual;Akun Blox Fruit KITSUNE [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2F3bu95zjm1w6wtfvthlgdwf_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp35.900;5888 terjual;Akun Blox Fruit GODHUMAN + SHARK ANCHOR + CDK [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2F1lf3bfvcup5z5lycfkt29_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp15.900;4871 terjual;Akun Blox Fruit MAMMOTH [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026327%2Fp3eb48vn4w9fn67scxygco_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp49.900;4831 terjual;Akun Blox Fruit Race Cyborg V4 Full Gear (Awakening) (Godhuman + CDK) [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202642%2Faqpbsgl5fegzllncdeuj6_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp37.900;4227 terjual;Akun Blox Fruit GODHUMAN + SHARK ANCHOR + FULL AWAKEN DOUGH [Level MAX];https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202641%2Fm2520brtmjwn95ufx8beg_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp2.000;3964 terjual;PROMO AKUN BLOX FRUIT LEVEL 1000+ BONUS FRUIT;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202595%2Fozwy2e9pjynelpry706ho8_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp550.000;;Akun Lv 2700 | 6 Permanent (DRAGON!! Kitsune, Dough) | 5 Gamepass | Rabbit V4 | Avatar Keren!! | Lihat Gambar dan Deskripsi Untuk Lebih Lengkap;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026521%2F8t3nyna2jdnw2zwbecgzuq_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp750.000;26 terjual;Akun Fruit Permanent - No 9;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026512%2F3ayoqnyoyxiueves9hgp1_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp800.000;29 terjual;Akun Fruit Permanent - No 8;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202658%2F4t3x7an1ypu1bpp5o9xdou_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Blox Fruits;Rp750.000;;AKUN PERMANENT DRAGON EASTERN & WESTERN #18;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202655%2F6uxj9bv4r36y9qpc0alqyp_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp5.000;837 terjual;CELESTIAL ESOK SEKOLAH 636.23Qd/S  |  ESCAPE TSUNAMI FOR BRAINROTS;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026114%2F5q9y8mz9rrctpwocna1om_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp14.000;415 terjual;Meta Technetta Random Mutation | Escape Tsunami For Brainrots;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026212%2Fy2eaxijmzgg0y8jm75pvrjb_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp14.000;366 terjual;Infinity Meta Technetta | Escape Tsunami For Brainrots;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202628%2Fapvvf7paln7jtlthrmz29b_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp10.000;160 terjual;Esok Sekolah 636.23Qd/s | Escape Tsunami For Brainrots;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026118%2F5jv13dxda2te6zk2hxvnin_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp320.000;1 terjual;Galactio Fantasma ( MAX LEVEL );https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026127%2Fxlx4oaj36qbu2xqa7y00gj_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp700;44 terjual;Esok Sekolah 5.3 Qn/s;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026221%2Fby5l84na9dt1dhtojfmi9p_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp1.900;;Bulbito Bandito Traktorito| Random Mutation | lv.210++;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202655%2Fudgsyhwjd8dzqbhdjpfju_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp27.900;99 terjual;Meta Technetta (Infinity) Random Mutation Op Unit;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026212%2Fh6jlhmu56zp6sxt1vou_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp2.000;157 terjual;Esok Sekolah 636.23Qd/s Celestial Electric;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202629%2Fl3iq1aud417txgow1gv74_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp850;73 terjual;Draculini Meowlini | Divine;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026223%2Fdc1ssd5urj5ymcmp6gf0hg_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp5.000;73 terjual;FREEZETI COBRETTI MINI - COLOSSAL RANDOM  |  ESCAPE TSUNAMI FOR BRAINROTS;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026212%2F621qxbrw04i86ux4bds67q_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp2.000;65 terjual;Esok Sekolah Mutasi Hacker 690sx;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202629%2Fj4wn8oz7pwnghe6q1sgo4q_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp2.000;58 terjual;Esok Sekolah 636qd/s;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202629%2Fybkv4qh208j224dqix360z_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp3.000;58 terjual;Anububu mutation;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026220%2Frblhs4q70uc2rcohwodiw_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp6.300;58 terjual;Magmew;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026320%2F2v3qexn7zxstn9m4roya0l_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp5.000;56 terjual;Esok Sekolah 636.23Qd/s;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026115%2Fctl3hj7ywchxz36xqy1ecf_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp30.000;;Meta Technetta;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026224%2Fgiyep9xhvsqu3an6v18qy_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp109.900;11 terjual;Colossal Meta Technetta (Infinity) Random Mutation LIMITED STOCK!!!;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026224%2F4nhbx6oo5798qztek1zrck_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp55.000;1 terjual;La Neutron TikiTress (Infinity) Op Unit;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202651%2Fjnmmeyso3h9cjx6ew1yrhv_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp5.000;40 terjual;Burgerini Bearini Random (1.77Sp - 1.97Sp);https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026117%2Fhx31w8zwnuad1a77fe2idf_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp37.000;35 terjual;META TECHNETTA DIAMOND (infinity) MAX LEVEL;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026417%2F16aag39w6w4ejy4oxrnx9a_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp15.000;31 terjual;Infinity Magmew Random Mutation | Escape Tsunami For Brainrots;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202628%2Fdjo88dkxwo4wuu8pvbsh5m_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp1.000;30 terjual;Freezeti Cobretti | Divine;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026212%2Fuzjkjmrb1lq8lj0kct1j57_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp10.000;29 terjual;ANUBUBU (Infinity) Diamond Max lvl 200;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F2026222%2Fxq1iui14n3nfrbpt025jce_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp25.000;25 terjual;Diamond Anububu | Infinity Lv 230+;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202632%2Ff18ydmr8d1sbufy8sgs3o7_thumbnail.jpg&w=1033&q=75;;;
Roblox Games;Escape Tsunami for Brainrots;Rp4.490;22 terjual;ANUBUBU random Mutation Lvl 210++;https://imgop.itemku.com/?url=https%3A%2F%2Fd1x91p7vw3vuq8.cloudfront.net%2Fitemku-upload%2F202628%2F6gh2zbu8uc79yu3x8h1cge_thumbnail.jpg&w=1033&q=75;;;
